Order_ID,Order_Date,Month,Quarter,Product_ID,Product_Name,Category,City,Region,Sales_Channel,Customer_Segment,Payment_Method,Quantity,Unit_Price_INR,Discount_Percent,Total_Revenue_INR,Return_Flag,Customer_Rating
ORD0001,2024-11-23,November,Q4,P002,Wireless Headphones,Electronics,Guwahati,Northeast,Corporate B2B,SME,UPI,4,3325.0,5,13300.0,No,5
ORD0002,2024-02-14,February,Q1,P010,Whiteboard Marker Set,Stationery,Kolkata,East,Online,Individual,Credit Card,4,171.0,5,684.0,No,
ORD0003,2024-04-11,April,Q2,P012,Monitor 24 inch,Electronics,Kolkata,East,Online,SME,EMI,5,18000.0,0,90000.0,No,
ORD0004,2024-08-04,August,Q3,P006,USB-C Hub,Electronics,Hyderabad,South,Online,Individual,Net Banking,2,2200.0,0,4400.0,No,3
ORD0005,2024-11-05,November,Q4,P005,LED Desk Lamp,Furniture,Guwahati,Northeast,Corporate B2B,SME,EMI,2,1530.0,15,3060.0,No,
ORD0006,2024-11-17,November,Q4,P010,Whiteboard Marker Set,Stationery,Chennai,South,Corporate B2B,Individual,Credit Card,1,171.0,5,171.0,No,2
ORD0007,2024-02-21,February,Q1,P007,Mechanical Keyboard,Electronics,Hyderabad,South,Retail Store,Enterprise,Net Banking,3,4050.0,10,12150.0,No,1
ORD0008,2024-11-07,November,Q4,P011,Standing Desk,Furniture,Mumbai,West,Corporate B2B,Enterprise,UPI,3,18700.0,15,56100.0,No,5
ORD0009,2024-04-22,April,Q2,P011,Standing Desk,Furniture,Chennai,South,Online,Individual,Credit Card,6,18700.0,15,112200.0,No,
ORD0010,2024-10-17,October,Q4,P015,Webcam HD,Electronics,Chennai,South,Online,Enterprise,Cash,7,2720.0,15,19040.0,No,
ORD0011,2024-10-14,October,Q4,P009,Ergonomic Mouse,Electronics,Hyderabad,South,Corporate B2B,Enterprise,Cash,10,1360.0,15,13600.0,No,2
ORD0012,2024-09-17,September,Q3,P008,A4 Paper Ream,Stationery,Delhi,North,Online,Individual,UPI,3,340.0,15,1020.0,No,5
ORD0013,2024-08-27,August,Q3,P009,Ergonomic Mouse,Electronics,Hyderabad,South,Corporate B2B,Individual,Credit Card,9,1440.0,10,12960.0,No,3
ORD0014,2024-08-10,August,Q3,P003,Office Chair,Furniture,Pune,West,Online,Enterprise,Net Banking,9,11400.0,5,102600.0,No,
ORD0015,2024-11-16,November,Q4,P005,LED Desk Lamp,Furniture,Bangalore,South,Online,SME,UPI,9,1440.0,20,12960.0,No,4
ORD0016,2024-01-10,January,Q1,P002,Wireless Headphones,Electronics,Chennai,South,Retail Store,Individual,Credit Card,4,2800.0,20,11200.0,No,
ORD0017,2024-09-05,September,Q3,P014,Filing Cabinet,Furniture,Delhi,North,Corporate B2B,Individual,UPI,8,6800.0,20,54400.0,No,5
ORD0018,2024-08-04,August,Q3,P004,Notebook Set (5 pack),Stationery,Bangalore,South,Corporate B2B,SME,Cash,6,212.5,15,1275.0,No,2
ORD0019,2024-04-25,April,Q2,P002,Wireless Headphones,Electronics,Chennai,South,Online,Enterprise,EMI,4,2800.0,20,11200.0,No,
ORD0020,2024-11-19,November,Q4,P001,Laptop Pro 15,Electronics,Bangalore,South,Online,Individual,Net Banking,2,52000.0,20,104000.0,No,2
ORD0021,2024-10-03,October,Q4,P003,Office Chair,Furniture,Pune,West,Online,SME,Cash,4,12000.0,0,48000.0,No,4
ORD0022,2024-07-29,July,Q3,P008,A4 Paper Ream,Stationery,Guwahati,Northeast,Corporate B2B,Enterprise,Credit Card,1,340.0,15,340.0,No,1
ORD0023,2024-05-07,May,Q2,P004,Notebook Set (5 pack),Stationery,Bangalore,South,Corporate B2B,SME,UPI,7,237.5,5,1662.5,No,
ORD0024,2024-02-08,February,Q1,P008,A4 Paper Ream,Stationery,Delhi,North,Online,Enterprise,EMI,1,400.0,0,400.0,No,2
ORD0025,2024-07-27,July,Q3,P008,A4 Paper Ream,Stationery,Pune,West,Online,SME,Credit Card,3,340.0,15,1020.0,Yes,4
ORD0026,2024-05-26,May,Q2,P007,Mechanical Keyboard,Electronics,Pune,West,Online,Individual,Net Banking,4,4500.0,0,18000.0,No,3
ORD0027,2024-01-30,January,Q1,P001,Laptop Pro 15,Electronics,Pune,West,Corporate B2B,Enterprise,UPI,1,52000.0,20,52000.0,No,
ORD0028,2024-10-31,October,Q4,P002,Wireless Headphones,Electronics,Bangalore,South,Retail Store,Individual,EMI,4,2800.0,20,11200.0,No,4
ORD0029,2024-12-02,December,Q4,P010,Whiteboard Marker Set,Stationery,Chennai,South,Retail Store,Individual,Net Banking,4,162.0,10,648.0,No,3
ORD0030,2024-08-22,August,Q3,P006,USB-C Hub,Electronics,Delhi,North,Online,SME,EMI,10,2200.0,0,22000.0,No,
ORD0031,2024-05-15,May,Q2,P003,Office Chair,Furniture,Chennai,South,Online,Individual,Net Banking,5,11400.0,5,57000.0,No,3
ORD0032,2024-11-09,November,Q4,P013,Printer Ink Cartridge,Stationery,Guwahati,Northeast,Corporate B2B,Enterprise,Net Banking,2,902.5,5,1805.0,No,5
ORD0033,2024-03-20,March,Q1,P005,LED Desk Lamp,Furniture,Hyderabad,South,Corporate B2B,Individual,Net Banking,4,1620.0,10,6480.0,No,
ORD0034,2024-01-27,January,Q1,P002,Wireless Headphones,Electronics,Kolkata,East,Retail Store,Individual,Credit Card,6,3325.0,5,19950.0,No,
ORD0035,2024-08-14,August,Q3,P009,Ergonomic Mouse,Electronics,Kolkata,East,Corporate B2B,Individual,Credit Card,2,1520.0,5,3040.0,No,5
ORD0036,2024-10-09,October,Q4,P003,Office Chair,Furniture,Kolkata,East,Online,Individual,Net Banking,6,12000.0,0,72000.0,No,
ORD0037,2024-05-07,May,Q2,P011,Standing Desk,Furniture,Delhi,North,Retail Store,Enterprise,Cash,10,20900.0,5,209000.0,No,
ORD0038,2024-03-24,March,Q1,P013,Printer Ink Cartridge,Stationery,Mumbai,West,Retail Store,Individual,UPI,6,807.5,15,4845.0,No,2
ORD0039,2024-05-16,May,Q2,P003,Office Chair,Furniture,Delhi,North,Retail Store,Individual,Cash,4,11400.0,5,45600.0,No,3
ORD0040,2024-04-26,April,Q2,P004,Notebook Set (5 pack),Stationery,Guwahati,Northeast,Corporate B2B,Individual,Cash,6,225.0,10,1350.0,No,3
ORD0041,2024-06-28,June,Q2,P011,Standing Desk,Furniture,Kolkata,East,Corporate B2B,Enterprise,Net Banking,1,22000.0,0,22000.0,No,
ORD0042,2024-10-24,October,Q4,P005,LED Desk Lamp,Furniture,Guwahati,Northeast,Online,Enterprise,Cash,6,1620.0,10,9720.0,No,1
ORD0043,2024-07-16,July,Q3,P015,Webcam HD,Electronics,Bangalore,South,Retail Store,Individual,Cash,1,2560.0,20,2560.0,No,2
ORD0044,2024-07-05,July,Q3,P007,Mechanical Keyboard,Electronics,Delhi,North,Corporate B2B,SME,EMI,6,4500.0,0,27000.0,No,3
ORD0045,2024-12-07,December,Q4,P007,Mechanical Keyboard,Electronics,Chennai,South,Retail Store,Enterprise,Net Banking,9,4275.0,5,38475.0,No,4
ORD0046,2024-12-12,December,Q4,P012,Monitor 24 inch,Electronics,Mumbai,West,Corporate B2B,Enterprise,Net Banking,7,14400.0,20,100800.0,No,2
ORD0047,2024-08-08,August,Q3,P013,Printer Ink Cartridge,Stationery,Chennai,South,Retail Store,SME,Cash,4,760.0,20,3040.0,No,2
ORD0048,2024-12-03,December,Q4,P002,Wireless Headphones,Electronics,Hyderabad,South,Corporate B2B,Enterprise,EMI,6,3500.0,0,21000.0,No,3
ORD0049,2024-04-25,April,Q2,P013,Printer Ink Cartridge,Stationery,Bangalore,South,Online,Individual,Credit Card,4,807.5,15,3230.0,No,4
ORD0050,2024-07-31,July,Q3,P015,Webcam HD,Electronics,Bangalore,South,Corporate B2B,Enterprise,Cash,8,2720.0,15,21760.0,No,1
ORD0051,2024-02-24,February,Q1,P013,Printer Ink Cartridge,Stationery,Kolkata,East,Online,Individual,EMI,8,950.0,0,7600.0,No,1
